Record_ID,Date,Month,State,Region,River_Basin,Rainfall_mm,River_Level_m,Soil_Moisture,Upstream_Release_cumecs,Distance_to_River_km,Catchment_Slope_deg,Elevation_m,Drainage_Density_km_per_km2,Land_Use,Flood
R00001,2024-07-08,1,Mizoram,North-East,Barak,9.4,1.84,0.148,8.0,4.93,8.07,835,2.34,Agriculture,0
R00002,2025-04-22,12,Gujarat,West,Sabarmati,38.2,1.87,0.26,4.6,2.5,2.87,349,1.13,Barren,0
R00003,2025-06-16,1,Punjab,North,Indus,34.2,2.21,0.212,3.2,2.96,6.23,814,1.57,Urban,0
R00004,2024-11-03,9,Rajasthan,West,Indus,206.2,4.66,0.683,5.7,0.94,0.82,259,1.05,Urban,1
R00005,2025-02-09,12,Meghalaya,North-East,Brahmaputra,18.1,2.18,0.186,3.3,2.97,7.57,719,2.39,Wetland,0
R00006,2024-06-13,10,Gujarat,West,Narmada,68.1,2.21,0.227,4.6,3.22,2.08,290,0.49,Urban,1
R00007,2024-11-01,12,Tamil Nadu,South,Cauvery,11.4,1.58,0.136,7.5,1.43,3.84,5,1.43,Forest,0
R00008,2025-06-17,4,Maharashtra,West,Godavari,26.1,1.86,0.209,8.0,2.29,3.86,400,1.11,Urban,0
R00009,2024-10-04,2,Punjab,North,Indus,19.2,1.49,0.084,8.5,6.0,8.91,849,1.2,Forest,0
R00010,2025-06-24,1,Manipur,North-East,Barak,18.8,1.75,0.176,13.7,0.49,7.95,912,2.24,Barren,0
R00011,2024-09-08,2,Haryana,North,Indus,14.1,2.12,0.099,9.5,2.95,5.35,853,1.36,Forest,0
R00012,2024-06-16,10,Karnataka,South,Cauvery,139.4,3.43,0.498,16.0,2.74,3.18,53,0.89,Urban,1
R00013,2025-04-10,5,Himachal Pradesh,North,Indus,46.9,1.94,0.266,10.7,4.28,6.09,877,0.88,Agriculture,0
R00014,2024-08-15,7,Andhra Pradesh,South,Godavari,199.8,5.49,0.702,85.1,1.84,3.24,221,0.97,Wetland,1
